Se encontraron 4467 gramas de tamaño 1
[2331]	COMPANY
[2120]	AS
[1339]	MARKET
[916]	GOVERNMENT
[740]	TONNES
[683]	INTERNATIONAL
[614]	PRESIDENT
[568]	AMERICAN
[529]	JAPAN
[525]	OFFICIAL
[513]	CAPITAL
[510]	PRODUCTION
[504]	FINANCIAL
[504]	DECEMBER
[489]	INCREASE
[488]	SYSTEM
[469]	NATIONAL
[450]	GROWTH
[446]	OFFICIALS
[438]	BOND
[436]	INDUSTRY
[436]	OPER
[433]	DEPARTMENT
[431]	COMMISSION
[429]	FEDERAL
[425]	COMPANIES
[423]	CHAIRMAN
[422]	OFFERING
[421]	BRAZIL
[419]	STG
[416]	ECONOMIC
[415]	EXPORT
[412]	EXPORTS
[408]	MONEY
[406]	PLAN
[400]	TALKS
[393]	MEETING
[388]	FELL
[382]	LOAN
[374]	CONTRACT
[371]	CANADA
[368]	REPORT
[365]	SELL
[362]	JAPANESE
[361]	MARKETS
[360]	ANALYSTS
[360]	OPERATIONS
[357]	FINANCE
[357]	HOUSE
[356]	PRODUCTS
[354]	EARNINGS
[352]	UNION
[345]	DIVIDEND
[344]	SERVICE
[342]	COMMITTEE
[339]	UNITED
[335]	PROGRAM
[335]	MINISTER
[332]	YEN
[331]	BUDGET
[331]	BONDS
[330]	REAGAN
[328]	COUNTRIES
[327]	I
[325]	COMPARED
[320]	PROPOSED
[318]	DEFICIT
[312]	AGO
[308]	SOLD
[307]	TREASURY
[305]	WHEAT
[303]	STAKE
[303]	FIRM
[300]	DEVELOPMENT
[299]	STATES
[298]	NON
[296]	EC
[294]	SHAREHOLDERS
[294]	PRIOR
[294]	WEST
[293]	COMMERCIAL
[292]	AROUND
[292]	OFF
[291]	FALL
[291]	GAS
[290]	LOANS
[287]	ISSUES
[286]	PAYMENTS
[286]	SYSTEMS
[286]	MERGER
[286]	LEAD
[285]	K
[284]	YORK
[283]	NOTES
[283]	CHINA
[283]	CANADIAN
[282]	AVAILABLE
[282]	SERVICES
[274]	GAIN
[272]	RESERVES
[272]	EUROPEAN
[271]	OUTSTANDING
[271]	INCLUDES
[269]	BILL
[268]	RECENT
[266]	SOUTH
[266]	DOMESTIC
[266]	OUTPUT
[265]	DEMAND
[264]	ENDED
[263]	SUBSIDIARY
[263]	OPERATING
[263]	POLICY
[262]	CONTINUE
[262]	COUNTRY
[262]	COFFEE
[261]	INCREASED
[259]	OPEC
[259]	FUTURES
[258]	IMPORTS
[258]	FUND
[256]	EIGHT
[253]	EARLY
[253]	AVERAGE
[253]	OWNED
[252]	INVESTORS
[252]	INDUSTRIES
[251]	BASIS
[251]	CRUDE
[250]	SENIOR
[250]	RESULTS
[248]	PRIVATE
[247]	INCOME
[247]	CENTRAL
[247]	AGENCY
[247]	UNTIL
[245]	PLANT
[244]	ASSETS
[244]	CHIEF
[244]	ECONOMY
[243]	FARM
[243]	DATE
[242]	ACQUISITION
[241]	ESTIMATED
[240]	USED
[240]	DEAL
[239]	PROPOSAL
[239]	FRANCS
[238]	WELL
[237]	BANKING
[237]	FINANCING
[236]	LIKELY
[235]	MINISTRY
[235]	MANAGER
[234]	PURCHASE
[234]	LONDON
[233]	FIGURES
[233]	CALLED
[233]	APPROVAL
[233]	SOVIET
[232]	PREVIOUSLY
[231]	PREFERRED
[231]	OUR
[230]	CURRENCY
[230]	CONVERTIBLE
[230]	PREVIOUS
[230]	VALUE
[229]	FISCAL
[229]	HALF
[227]	HELP
[227]	ADMINISTRATION
[227]	EXECUTIVE
[227]	DEBENTURES
[224]	SURPLUS
[223]	THOSE
[223]	SUPPORT
[223]	FED
[223]	TRADERS
[222]	SETS
[221]	SAY
[221]	ANOTHER
[219]	COST
[218]	STILL
[218]	ENERGY
[217]	HELD
[217]	AGRICULTURE
[216]	LEVEL
[216]	FUTURE
[216]	FUNDS
[216]	TENDER
[215]	PAPER
[214]	POINT
[214]	THESE
[214]	ALREADY
[213]	SELLING
[213]	AMOUNT
[212]	SECOND
[212]	CLOSE
[211]	MUCH
[211]	FIRMS
[209]	EXPECTS
[209]	PAYMENT
[209]	THEM
[208]	APPROVED
[207]	CORN
[207]	INCLUDE
[207]	FOURTH
[207]	CHRYSLER
[206]	BID
[205]	THIRD
[204]	COSTS
[202]	SPLIT
[202]	DAYS
[201]	GOLD
[200]	SHORT
[198]	DECLINED
[197]	UNITS
[197]	BANKERS
[197]	INDUSTRIAL
[197]	USAIR
[196]	PRICED
[196]	MEMBERS
[195]	USE
[195]	FORECAST
[194]	LINE
[194]	BAKER
[193]	SEPTEMBER
[192]	NOTED
[192]	REDUCE
[192]	FULL
[192]	SUPPLY
[192]	MOVE
[191]	ASKED
[191]	COMPUTER
[191]	CHANGE
[191]	M
[190]	BRITISH
[190]	PLC
[190]	POWER
[190]	DEALERS
[189]	TRUST
[188]	LATE
[188]	FARMERS
[187]	WAY
[187]	ACQUIRE
[187]	PAID
[187]	ASSOCIATION
[187]	FRENCH
[187]	OPTIONS
[186]	STOCKS
[186]	SEVERAL
[186]	ACCORDING
[186]	RESULT
[185]	NEWS
[185]	RECEIVED
[185]	ORDER
[184]	JOINT
[184]	CONTRACTS
[183]	MUST
[182]	SECRETARY
[182]	DATA
[182]	VERY
[181]	MAKING
[181]	CONTROL
[181]	SECTOR
[180]	INITIAL
[180]	WITHIN
[180]	LOW
[179]	ISSUED
[179]	RAISED
[178]	ADDITIONAL
[178]	SIGNED
[178]	COURT
[178]	MEET
[178]	OPTION
[178]	SAVINGS
[177]	CURRENTLY
[177]	LARGEST
[177]	EQUITY
[177]	COMMENT
[177]	REVENUES
[176]	WORK
[176]	EUROPE
[175]	LARGE
[175]	LOSSES
[175]	JAN
[175]	SUGAR
[174]	TEXAS
[174]	VICE
[174]	RESERVE
[174]	PRODUCT
[174]	DETAILS
[173]	STRONG
[173]	LATER
[173]	COUPON
[172]	LEAST
[172]	TECHNOLOGY
[172]	OFFERED
[172]	CONGRESS
[172]	LESS
[172]	POSSIBLE
[171]	NUMBER
[171]	IRAN
[168]	NORTH
[168]	PROVIDE
[168]	INSURANCE
[168]	MARKS
[167]	CONFERENCE
[167]	INFLATION
[167]	BACK
[167]	PLUS
[166]	WEEKS
[166]	FINAL
[165]	STANDARD
[165]	AIR
[164]	BELOW
[164]	DECISION
[164]	GIVE
[163]	VENTURE
[163]	FILED
[163]	PROFITS
[163]	PRODUCERS
[162]	OWN
[162]	WHITE
[161]	WHAT
[161]	ANALYST
[161]	EFFECTIVE
[161]	CAR
[160]	SPECIAL
[160]	MIGHT
[160]	GERMAN
[159]	REVISED
[159]	MARKETING
[159]	BPD
[158]	ACTION
[158]	WORTH
[158]	FOLLOWING
[158]	HERE
[157]	LEVELS
[157]	GRAIN
[156]	COMPLETED
[156]	MANY
[156]	WHETHER
[156]	PAST
[156]	ECUADOR
[156]	NEED
[156]	BOUGHT
[155]	ACQUIRED
[155]	STORES
[154]	RECENTLY
[154]	WESTERN
[153]	POSITION
[152]	DECLINE
[152]	WITHOUT
[150]	AMERICA
[149]	PUT
[149]	DIRECTOR
[149]	QUOTA
[148]	CROP
[148]	PACT
[148]	QUARTERLY
[148]	ACCOUNT
[148]	DIVISION
[148]	SWISS
[147]	PROCEEDS
[147]	AMONG
[147]	DE
[147]	ELECTRIC
[147]	BARRELS
[146]	START
[145]	RESEARCH
[145]	REAL
[145]	LOCAL
[145]	RAISE
[145]	COMMUNITY
[144]	ABOVE
[143]	RECEIVE
[143]	SEES
[143]	CORPORATE
[143]	REMAIN
[142]	SHOW
[142]	EVEN
[142]	PLANNED
[142]	NOVEMBER
[141]	DROP
[141]	SUBORDINATED
[141]	BASE
[140]	NEGOTIATIONS
[140]	GOODS
[140]	ACCORD
[139]	PETROLEUM
[139]	RIGHTS
[139]	PAYABLE
[139]	POINTS
[139]	THEN
[139]	ORDERS
[139]	FRANCE
[139]	INDEX
[138]	OPEN
[138]	CERTAIN
[138]	FACILITY
[137]	GET
[137]	PRESENT
[137]	SPENDING
[137]	GIVEN
[137]	BUYING
[137]	CUTS
[136]	RESOURCES
[136]	LED
[136]	BALANCE
[136]	TAIWAN
[136]	DUTCH
[135]	CONDITIONS
[135]	EQUIPMENT
[135]	YIELD
[135]	TWA
[134]	POOR
[134]	TAKEOVER
[134]	BILLS
[134]	DISTRIBUTION
[134]	HOME
[134]	OFFICER
[133]	ECONOMISTS
[133]	OFFICE
[133]	PRIME
[132]	ALTHOUGH
[132]	MOODY
[132]	INFORMATION
[132]	PEOPLE
[132]	GAINS
[132]	WORKERS
[131]	EXTRAORDINARY
[131]	DOES
[131]	REACHED
[130]	FRIDAY
[130]	MEMBER
[130]	IMPORT
[130]	WORKING
[130]	PROBLEMS
[130]	PACIFIC
[129]	RANGE
[129]	REPORTERS
[129]	NATIONS
